model,epoch_loss,test_f1_loss,epoch_f1,test_f1_f1,epoch_best,test_best_f1
mbert_finetune_small_24h_vocab_random/checkpoint-1500_small50,1.0,62.41475910785276,5.0,71.27947082120862,3.0,73.53224562415137
mbert_finetune_small_24h_vocab_random/checkpoint-1500_small75,2.0,73.72808734111484,3.0,75.0897129186603,5.0,75.68330193889052
mbert_finetune_small_24h_vocab_random/checkpoint-500_small,2.0,76.62337022279063,2.0,76.62337022279063,2.0,76.62337022279063
mbert_finetune_small_24h_vocab_random/checkpoint-500_small25,1.0,67.51657317695053,9.0,69.83224468041882,5.0,71.11459968602824
mbert_finetune_small_24h_vocab_random/checkpoint-500_small50,4.0,72.37307389966165,8.0,70.32930212825453,4.0,72.37307389966165
mbert_finetune_small_24h_vocab_random/checkpoint-500_small75,1.0,64.9563952106059,2.0,73.53877760657421,3.0,74.96478742496441
mbert_finetune_small_24h_vocab_random_small,1.0,76.53577266343844,3.0,74.7001998667555,1.0,76.53577266343844
mbert_finetune_small_24h_vocab_random_small25,2.0,66.93163751987281,2.0,66.93163751987281,7.0,72.52231045269556
mbert_finetune_small_24h_vocab_random_small50,1.0,59.618920274109975,10.0,69.2128476587311,3.0,72.25517090788618
mbert_finetune_small_24h_vocab_random_small75,1.0,67.96592541231242,7.0,72.7911154662747,6.0,73.7063346168491
mbert_finetune_small_24h_vocab_sum,2.0,70.98961292484303,3.0,73.44453828828829,9.0,74.15050055318515
mbert_finetune_small_24h_vocab_sum/checkpoint-1000_small,1.0,67.74989716166186,6.0,73.18741450068399,3.0,73.8007038998898
mbert_finetune_small_24h_vocab_sum/checkpoint-1000_small25,2.0,72.70064775860261,5.0,71.47128245476001,2.0,72.70064775860261
mbert_finetune_small_24h_vocab_sum/checkpoint-1000_small50,2.0,68.36456982923667,5.0,70.45090093569961,5.0,70.45090093569961
mbert_finetune_small_24h_vocab_sum/checkpoint-1000_small75,1.0,66.05421686746988,3.0,71.96012079733009,8.0,74.63501435677598
mbert_finetune_small_24h_vocab_sum/checkpoint-1500_small,1.0,71.39293139293139,2.0,75.59153175591531,2.0,75.59153175591531
mbert_finetune_small_24h_vocab_sum/checkpoint-1500_small25,2.0,71.97712418300655,5.0,71.85964477999876,2.0,71.97712418300655
mbert_finetune_small_24h_vocab_sum/checkpoint-1500_small50,2.0,74.95704076755383,3.0,72.51885059470628,2.0,74.95704076755383
mbert_finetune_small_24h_vocab_sum/checkpoint-1500_small75,2.0,75.07154213036567,2.0,75.07154213036567,2.0,75.07154213036567
mbert_finetune_small_24h_vocab_sum/checkpoint-500_small,2.0,71.98783644491056,4.0,73.5797919250873,3.0,75.14492753623188
mbert_finetune_small_24h_vocab_sum/checkpoint-500_small25,2.0,68.99572388167982,7.0,69.83040598114401,8.0,70.5733862243058
mbert_finetune_small_24h_vocab_sum/checkpoint-500_small50,1.0,61.62506118453255,4.0,72.12476075921597,4.0,72.12476075921597
mbert_finetune_small_24h_vocab_sum/checkpoint-500_small75,2.0,69.46272126943036,10.0,71.59072350155152,3.0,73.20497267118016
